Query|Document
Write Shorter Sentences New Year's Day '16|Created 1/04/16  some people like long, fanciful sentences that flow on and on, poetically, almost. Other people prefer a short sentence. Why? A short sentence packs a greater punch.
Write Faster 08/8|written 08/08/10  whether you need to write more quickly while note-taking or you need to hash out that essay before it's due, writing faster isn't very difficult. You can learn a shorthand system for taking notes, or you can learn how to manage your time so that you sit down and write.
Write Brochures beginning of 2011|Posted 4/20/11  a brochure is a great piece of marketing material that provides potential customers with something tangible in a digital world. A glossy, four-color brochure with beautiful photos and persuasive writing can be just the thing to make your products fly off the shelves.
Write in Cursive 2011 August|Many children learn how to write in cursive during grade school. But if you never learned, or just need some tips to refresh your memory, you can master cursive with a bit of practice  Created 08/07/2011
Write a Satire Winter '13|Created 01/19/14  satire is a very refined sort of humor, and writing a satire piece can be challenging if you've never done it. Here's some advice about how to pick the right topic and how to write your satire as effectively as possible.
2003 October write Correspondence Notes| Here are some steps which will help you to write the correspondence notes.   released 10/15/2003
Monsoon 2026 write a Manifesto|A manifesto is a document wherein a person, government, or organization outlines their intentions, motivations, and/or views. These texts ask and attempt to answer the question: What do I believe  Written 08/13/26
Oct of 2015 learn to Write With Your Left Hand|released 10/17/2015  if you write with your right hand, it is possible to train yourself to write with your left hand. This is useful if you happen to injure your right hand and cannot use it.
Nov '46 write an Appropriate Letter to Someone in Jail or Prison|Published 11/01/2046  research shows that incarcerated individuals who maintain contact with supportive family members or friends are in a better position to succeed after their release.
April 2036 write an Interview Thank You Note|Sending a note of thanks to a potential employer is a professional courtesy that can make you stand out from your competitors following a job interview  Created 04/23/2036
Spring 2033 develop Your Own Handwriting Style|Get your writing noticed by having your own unique handwriting style. Perhaps you want to clean up your writing because it is sloppy or hard to read, or maybe you are looking to develop a unique and memorable writing style  published 5/14/33
Write a Reference Letter for Graduate School Apr '33|created 04/01/2033  if you have been asked to write a reference letter to help someone get into graduate school, you might feel a bit nervous about not knowing what sort of information to include.
2028 June write a Postcard|Posted 06/02/2028  postcards are a great and personal way of sending greetings to your friends and loved ones while you are traveling abroad. This wikiHow will teach you how to write one.
Write a Payment Reminder March of 2041|Published 03/18/2041  one of the most difficult situations for a business owner or entrepreneur is dealing with customers who are past-due on their accounts. Asking for payment in a polite but firm manner is a delicate issue, but balance can be achieved.
Write a Persuasive Letter Using Pros and Cons Charts March of 2041|Published 03/18/2041  a persuasive letter can be very hard to write. You have to try to persuade someone to buy or do something. If you want to persuade someone to do something then follow these steps.
Have Good Handwriting 2005 Jul|published 07/05/05  many people want to have good handwriting, but feel it is beyond their reach. If you are one of these people, or if you simply want to improve your handwriting, read this wikiHow to learn how.
Use the Urban Dictionary '33 New Years|published 01/4/33  urbandictionary is a free online dictionary of slang and colloquialisms. It is a wiki in some ways, in that you can add entries yourself. Finding your way around the Urbandictionary is easy if you know how.
2042 April write a Love Letter|Everyone seems to use text messages and emails to communicate to each other these days. So there’s something about a good, old-fashioned love letter—especially a handwritten one—that makes it a rare and special treat  Posted 04/16/2042
Use an Ellipsis October '44|released 2 months ago current date:12/02/44  sometimes you just need to take a moment to pause and reflect, even in writing. An ellipsis (...) is a piece of punctuation that can be used to indicate a pause or a gap in a piece of text.
Write a Dark or Sad Story October '44|released 2 months ago current date:12/02/44  do you want to give your story or writing project a dark or tragic turn? Are you unsatisfied with your ability to write anything but happy stories? With practice and planning, you can write a story that will chill and/or depress even your most light-hearted readers.
2048 Jan write a Comedy Sketch|Do you want to learn how to write your own comedy sketch? Many popular comedy sketches are used on television, on stage, and during stand-up performances  Released 01/15/2048
Summer 2034 cite an Annual Report in APA Style|APA style is a writing format created by the American Psychological Association. It is used primarily in the behavioral and social sciences, but is also used in graduate and post-graduate study, not-for-profit organizations and for-profit businesses in the medical and social services arenas  Written 08/17/34
Cite a Website with No Author Apr of 2010|Written 04/13/2010  the method you use to cite all sources will depend upon the style in which it is written. Modern Language Association is common in the humanities, while Chicago is mainly used for publishing.
Do a Works Cited Page in MLA Spring 2042|For a research paper, you gather information from a variety of other sources when making your argument. To give credit to the authors who wrote all those other sources, you provide citations, both in your paper and at the end, in what’s known as a works cited page  released 5/14/42
Cite the Code of Federal Regulations Spring 2042|The Code of Federal Regulations (CFR) provides a listing of the rules and regulations of the Federal Government. The CFR is divided into 50 broad titles that are then split into chapters and sections  released 5/14/42
Cite a Poem March 2040|Students, critics and writers often quote poems when they are writing essays, research papers, articles and books or when giving a speech, reading or presentation  created 3/09/40
Cite a Play March 2040|Quoting characters or concepts from a piece of drama requires you to attribute the words to the author. If you are writing a scholarly paper, you will most likely need to cite your play in Modern Language Association (MLA) or American Psychology Association (APA) style in an attached works cited list  created 3/09/40
Feb of 2010 cite a Newspaper Article|Newspaper articles are available in both print and online formats. While the citation requirements for each citation style are similar for print and online formats, there are minor differences  published 02/08/2010
Cite a Book Fall 2025|Created 11/12/25  books are intellectual property. If you are writing an essay, article or paper of any kind, and you draw upon or quote a book, you must give proper credit to the author.
Evaluate the Credibility of a Source Jun 2011|We are constantly surrounded by  information , and it is not always easy to know which sources to trust. Being able to evaluate the credibility of information is an important skill used in school, work, and day-to-day life  Written 06/07/2011
02/17 cite a Book in MLA Style|Scholarly papers about the liberal arts are generally written according to the style guidelines of the Modern Language Association. If you are composing an essay, make sure to include a works cited reference page in addition to your paper  Posted 02/17/00
Summer 50 cite Journal Articles|released 6/05/50  citing reference materials properly will add clarity and consistency to an essay or other scholarly project. Here is how to cite journal articles using several popular styles of citation.
Cite a Direct Quotation Jun 2027|If you are writing a formal paper for school or work, using proper citations for a direct source is important. While there may be specific style rules and variations for different institutions and publications, the Modern Language Association (MLA)  [1]   and American Psychological Association (APA)  [2]   styles are the most commonly used and generally accepted guides to follow for citing a direct quotation  released 06/02/2027
Overcome Artist's Block April 2004|Posted 04/08/2004  it is not an unusual experience for an artist’s  imagination  or  creativity  to dry up. To bring inspiration back into your practice, you will need a lot of persistence and a willingness to play within new boundaries.
Write a School Newsletter Winter '22|Written 01/27/23  creating and publishing a school newsletter can be an excellent way to keep everyone in the community informed and up-to-date. Your school newsletter can be as complex or as simple as you'd like.
Jul 2011 write a Settlement Proposal|A settlement proposal most commonly refers to an attempt by a person in debt to reduce or eliminate their debt by proposing an alternative to paying the full debt to the creditor  Posted 07/06/2011
Write a Guarantor Letter October '08|In a guarantor letter, a person or business is taking financial responsibility for another person or business, should they forfeit on a contract. These letters are needed for a number of financial transactions, for instance landlords might require a guarantor letter if they think a potential tenant doesn't have enough income to pay rent   [1]   or a country may require one be included with travel visa applications to guarantee that travelers will not run out of money and become stranded in their country  Published 10/03/2008
Write a Query Letter Fall 2040|released 11/9/40  a query letter is an appeal to publishers or agents in an effort to get them interested in something you’ve written, usually a book. A proper query letter will provide a synopsis of your book, will give a bit of information about the author, and will hopefully pique the interest of agents or publishers enough that they’ll want to read more.
Become a Mentor to Young Aspiring Writers 2014 January|Created 1/08/14  as a writing mentor, you can provide young, aspiring writers with positive, constructive feedback to help them to realize their potential. In order to become a writing mentor to others, you should have writing experience, availability, and the ability to couch criticism in an encouraging way.
May '27 write a Crossed Letter|Back in the 19th century when postage charges were ridiculously expensive, letter-writers saved money and stationery with a simple technique called cross-hatching  Written 05/02/2027
Be a Good Reviewer Christmas 2025|Mainly, what the authors want are: encouragement, predictions, and that alert/favourite thing. They thrive on reviews, especially ones that make sense of where the story is going  posted 1/1/26
Dec '11 publish a Comic Strip|Getting your comic published is a serious goal that many cartoonists have. Not only is it exciting to have your comic read by so many people, you can also make a living doing something you love  created 12/21/2011
July '29 market a Book|If you want your book to be bought and read by the widest audience possible, you have to let readers know that it's available – and that means marketing your book  Written 07/26/2029
Find Your Muse Christmas 2021|Posted beginning of last year current date: 1/24/2023  inspiration is something that comes easily for some people, but is a struggle for others. Some artists, writers, poets, musicians, and even scientists look to a muse as the source of their creativity or genius.
Write a Letter to Your United States Senator September of 2029|Published 09/04/2029  each state has two senators. Your senators vote on bills and approve or reject the President’s cabinet and Supreme Court nominees. To write your Senator, you should find their address and spend some time thinking about what you want to say.
Write a Letter of Complaint to a Mental Health Facility Oct 2021|Posted 10/02/2021  unfortunately it is occasionally when we're at our worst that folks we trust to care about the issues are the most offensive. It isn't every visit, or stay, that will bother you to the point of needing to express it.
2048 Jun write a Geographical Report|For a school geography report, you are basically writing a paper about a certain area. You’ll need to cover land features like mountains and rivers, as well as the weather, animals, plant life, soil, natural resources, population, and how the area is divided by political or state lines  Created 06/13/2048
Be a Beat Writer July 2018|Experienced reporters are usually assigned a beat, an area they cover on a regular basis, when hired by a media entity. Depending on staffing, you may be assigned a beat on a subject area unfamiliar to you  Posted 07/09/2018
Feb 2014 avoid Using Purple Prose when Writing|Purple prose is writing that is so ornate that it breaks the flow of the narrative and draws too much attention to itself. Having purple prose in your own writing can make your sentences sound awkward, jumbled, and pretentious to your reader  released 2/21/14
Jun of 2028 write an Icebreaker Speech|Posted 06/15/2028  an icebreaker speech is any kind of speech that introduces yourself to an audience. You can give an icebreaker speech in a lot of different contexts: when you’re accepting an award, toasting a couple at their wedding, or making a business pitch.
New Years 2010 start a Letter|written last month current date: 1/22/2009  a letter that has a strong start is more likely to make a good impression on your reader. Whether you are preparing to write a personal letter, a business letter, or a cover letter, it can be hard to know how to structure the heading and what to say in the first few lines.
2049 October start a Thank You Letter|Thank-you letters are a time-honored gesture of appreciation, but capturing the right tone isn’t always easy. Because of the increasing rarity of formal letters, many people find themselves grasping for the right words when they sit down to pen a personalized response  Published 10/24/2049
Teach Children Liberal Values Dec 2036|A liberal person believes that the government should take action to help improve the lives of its citizens.  [1]   Although you may have your own specific opinions about certain politicized topics, if you want your children to learn values that are typically liberal take time to understand the stance of liberal people on political issues  Published 12/16/36
Mar '13 write a Letter to Your Future Self|Writing a letter to your future self is a fun exercise that lets you reflect on your current life as well as set goals for an ideal future. Even though it’s a simple exercise, you should take it seriously to get the most out of it  Released 03/05/2013
10/9 get Your Press Release Published|With the advent of internet based press release website, it is easy for any one to publish press release online and get broad media attention. The press release websites take content from general users and then publish it on their news website after approval  Posted 10/09/46
'34 New Year's edit Your Novel|Posted end of last year current date: 9/25/2034   Okay, so at long last you have finished your first draft! First of all, congratulations but now, the real work begins... 
Create an Imaginary World in a Book 03/02|So you want to make an imaginary world, not in your head but in a book. Your imaginary world should have some sort of theme, like animals for example  Released 03/02/36
Fall '03 create a Unique Magic System for Your Book|Ever feel that books such as Harry Potter have taken all the good Magic set-ups in books? Despite the thousands of types of magic in books, it's still possible to make a brand new magic  released 11/19/03
Create a Heartbreaking Story 10/25|A heartbreaking story is one that tugs at the heartstrings and brings on the tears. It's not an easy genre to write well though, for readers don't want to read loads of gush or tragedy that almost makes you laugh because it's so over-the-top  Written 10/25/17
November 2024 come Up with a Topic to Write About|Many people are intimidated by the thought of writing. One of the biggest factors that can contribute to writers’ block is not knowing what to write about  written 11/02/2024
Write a Complaint Letter to an Attorney New Year's Day '06|Written 1/3/06  when you hire an attorney to handle a particular legal matter, you are creating a relationship that comes with certain rights and responsibilities.  [1]   If you feel your rights have been violated by the attorney you hired to represent you, you may be able to write a letter or file a complaint against that attorney.
03/30 write a Complaint Letter to a Company|Published 03/30/10  writing a letter of complaint is something most people have to do at some point in their lives. This wikiHow will show you how to write a complaint letter to a company.
Apr '44 send a Letter to Someone Important|A well-written letter can convince someone to adopt your point of view or give you what you want. You might write a letter to elected representatives, college or university presidents, or members of the clergy  written 04/04/2044
Speak Turkish Jun of 2019|Acquiring a new language gives you the confidence and ability to speak to people of different backgrounds. Turkish is spoken by more than 70 million people worldwide  Created 06/20/2019
2030 February write Bye in Brazilian Portuguese| There are many ways to write bye in Brazilian Portuguese. These are some casual ways. Use them and impress your friends.   Published 02/12/2030
9/24 speak Brazilian Portuguese|Written 09/24/31  the official language spoken by Brazilians is Portuguese -- Brazil was a colony of Portugal after the 1494 Treaty of Tordesillas. The Brazilian government did not obtain its independence until 1822 and therefore the people of Brazil still speak Portuguese.
2006 October write an Index|posted 10/20/2006  an index, while never the most glamorous section of any writing project, is essential to the readability and usability of longer nonfiction pieces, technical articles, and books.
Write a Short Story end of 2024|Published 10/9/24  for many writers, the short story is the perfect medium. While writing a novel can be a Herculean task, just about anybody can craft—and, most importantly,  finish —a short story.
Write About Disability Sep '38|posted 09/17/2038  as a  journalist ,  essayist ,  novelist , or  English student  who wants to write about disability, navigating the terminology can be confusing if you are non-disabled or new to the  disability community .
June of 2025 diagram Sentences|created 06/07/2025  diagramming sentences might seem complicated at first, but you'll quickly get the hang of it. Sentence diagramming enables you to visually understand the function of every part of a sentence, which helps you construct better sentences.
2027 February write a Speech for Someone Else|Writing a speech for someone else can be a stimulating task to take on. It can also be challenging to write a speech for another person with a different voice than your own  released 02/06/2027
June 2041 say Mister in Hindi|"Very surprisingly, people around the globe are unaware of the fact that the language of India is not called ""Indian"", it is called ""Hindi"". Interestingly, this doesn't serve to be the national language of the country and there isn't a particular language that is recognized as 'the' national language because of the linguistic diversity of the country  created 06/26/2041"
Send a Letter to Girls Love Mail New Year's '00'|Posted beginning of last year current date: 9/25/2001  girls Love Mail  is a website that allows you to send a letter to a newly-diagnosed breast cancer patient. Sending mail using Girls Love Mail is quite simple once you know how.
2023 Jun get a Job in Book Publishing|Published 06/17/2023  career options in book publishing include a variety of jobs ranging from editing and art design to sales and information technology. Larger book publishers have numerous departments that include human resources, finance, marketing, inventory, legal and digital production.
Become Better at Academic Writing 3/05|Academic writing should involve expressing your own ideas in response to what others have said. Good writing often begins not by asserting your own opinion, but by listening actively and putting yourself in the shoes of those who think differently  Published 03/05/32
Become a Writer Using English if It's Your Second Language 3/05|If you are reading this article right now, that means you know English and you can speak it as well. If you want to become a writer, and English is your second language, you can do it by following these simple steps  Published 03/05/32
Freewrite 2044 September|Written 09/07/2044  freewriting is a great way to generate thoughts on the page. You might freewrite if you are experiencing writer’s block or if you’re struggling to come up with new ideas.
"Find Your ""Writing Nest"" March '12"|As a writer you've probably struggled with finding a place to write where you feel inspired and relaxed. You may think that Lady Muse is just being cruel that day but it actually has something to do with your right and left brain  Posted 03/20/2012
Describe a Smell March '12|We have plenty of words to describe other senses and sensations, but smell seems to defy words. The human sense of smell is not heavily used compared to that of many animals  Posted 03/20/2012
Jan of 2011 write a Rhetorical Analysis|A rhetorical analysis can be written about other texts, television shows, films, collections of artwork, or a variety of other communicative mediums that attempt to make a statement to an intended audience  Published 01/13/2011
Jan of 2011 write a Persuasive Speech|A persuasive speech is a speech intended to convince the audience to do something. Whether you want to get people to vote, stop littering, or change their minds about an important issue, persuasive speeches are an effective way to sway an audience  Published 01/13/2011
November 2044 leave Romantic Notes for Your Crush|Leaving a note for a crush is a great way to move a potential relationship forward. It can also make your crush feel special. However, while leaving romantic notes can be exciting, it can also be stressful and a little scary  published 11/15/2044
Make an Anything Journal Monsoon 2038|Created 08/17/38  an anything journal is pretty vague, isn't it? Of course! Who wants to devote a whole journal to just one topic when there are so many things to put in?
Report a School for Discriminatory Discipline Monsoon 2038|Created 08/17/38  federal law prohibits public schools (as well as many private schools who accept federal funding) from discriminating on the basis of traits such as race or gender when undertaking disciplinary actions against a student.
Read a Book on an iPad Using a Pillow Switch April '05|Released 04/26/2005  people who are unable to use their hands due to a disability such as quadriplegia can now read on an iPad using a single pillow switch. The iPad can be clamped in front of the face of the affected person, and the pillow switch can be pinned to a pillow next to the person's head.
Spring 33 become a More Confident Writer|Whether you are a student, an aspiring writer, or you already write for a living, it’s always possible to lose confidence in your work. It’s easy to feel like your writing is rubbish, especially if you rarely get positive feedback on it  Created 5/28/33
Spring 33 be Specific|In order to  communicate effectively , it is important to be specific, rather than vague or ambiguous. Whether you are speaking or writing, you will have a much easier time getting your point across clearly when you choose descriptive words and have a precise intention in mind  Created 5/28/33
2032 Jan be a Good Writer|Written 01/24/2032  want to become a good writer? It will take time, but it's apparently easier than becoming a major sports star or singer. Writers are infamous for their self-doubt, whether they're world-renowned or just another unknown soul.
2039 February avoid Basic Mistakes when Writing| This article is more focused on writing novels or short stories. Here are some tips and steps to help you.   published 02/05/2039
Write White Papers 2049 Oct|published 10/22/2049  a white paper is a one-to five-page document that describes a given problem and proposes a specific solution to the problem. It’s commonly used in government and corporate settings.
Jan '19 be Secretive|We've all seen them, the people who are so secretive, and good at it, they could be hiding the world's most guarded secrets. Now, admit it, you envy them, just a little  written 01/20/2019
July of 2033 write a Diary|Writing a diary is a great way to reflect back on your day or vent out your frustrations. If you are thinking of starting a diary, but aren't sure of what to write, read this wikiHow to get some ideas!  Released 07/12/2033
Contact the President of the United States Dec of 2023|Do you have questions or concerns about what is happening in the United States today? Do you want to know what the President's plans are for the economy in the future  released 12/07/2023
Oct '08 write a Resignation Letter|Written 10/17/2008  one of the greatest secrets of success is knowing when to move on. With the right resignation letter, you will do so with satisfaction while leaving on good terms with your previous employer.
Break Into Hollywood As a Writer Jan '24|Published 01/17/2024  breaking into Hollywood’s film industry is difficult, and making it as a screenwriter comes with its own set of challenges. Until you catch your first break, you likely won’t get paid for your writing, which means you’ll have to work another job to make money in the meantime.
Cast a Play October '46|Casting is one of the most difficult parts of producing a play. You want to make sure that as many people know about the auditions as possible so that you can see a wide range of actors and talent  released 10/08/2046
2046 August write a Poem for a Boyfriend|created 08/20/2046  your boyfriend may be a very special and important person in your life. To show him how much you care, you may decide to write him a poem. A love poem can make a great gift for your boyfriend and show him how much you care.
Write an Epic Poem Nov 2041|Posted 11/11/2041  are you interested in writing poetry, but have never found the right outlet for your creativity? Do you want to join the ranks of Homer and Hesiod? Perhaps you want to write an epic poem.
Start a Horror Story July of 2002|Writing your own horror story  can be a fun personal project or an interesting assignment for a class. Perhaps one of the more challenging elements of the horror story is the beginning of the story, or the opening lines  published 07/05/2002
Write a Magical Story Aug of 2041|Released 08/26/2041  have you ever wanted to write a novel that is filled with creatures that no one has ever heard of? Or write a story full of wizards and spell casting?
Write Flash Fiction Sep '36|published 09/20/2036  flash fiction, also known as microfiction, is a growing genre of short story that aims to tell an entire story with a limited word count. Flash fiction usually comprises 500 words—or fewer!
Write Fantasy Fiction September 2044|Written 09/26/2044  writing amazing fantasy means creating a whole, unique universe to draw your readers into. Whether you write about witches and wizards, supernatural creatures or alternate dimensions, you must make the reader believe that your world could actually exist.
Sep 2011 write the First Sentence of a Book|Posted 09/02/11  if you're a writer, you've probably dreamed of completing your first book. But once you've decided to actually write a book, how do you get started?
6/2 write an Epilogue|An epilogue is placed at the very end of a literary work. It should reveal the fates of your characters or narrate events that occur after the ending of the text  Released 06/02/22
Write a Story on Fairies 2044 March| This article gives writers a guide to writing a story on fairies.   Written 03/17/2044
Write a Tragedy Jul '48|Tragedy is a work of drama that involves some type of human suffering as its central premise. There are many types of tragedy, ranging from Greek tragedy to Elizabethan tragedy, and all the way through to contemporary dramatic fiction and theater  created 07/06/2048
Write a Hook for a Book November of 2019|published 11/18/2019  writing a “hook” can mean two different things and will require two different methods. You may be trying to  write a first line for your book  that draws your reader into the story right away and encourages them to turn the page.
Write a High Fantasy Series Jan '03|High fantasy is one of the most popular fantasy genres. Some books that fall in this category are the Lord of the Rings, Harry Potter, Percy Jackson, Wheel of Time, The Inheritance Cycle, A Song of Ice and Fire, and Dragonlance  Created 01/06/2003
5/09 make a Fantasy Race|When writing fantasy, many writers choose to set their novels in a fantasy world. If this is the case, you will need different fantasy races to live there  Created 05/09/34
September of 2037 develop Fiction Plots|With few exceptions, successful fiction needs to have a clear plot that takes your characters from their normal lives and through a series of battles  released 09/07/2037
December 2015 depict Disability in Fiction|Published 12/19/2015  when writing, take some special care in describing characters with disabilities, physical or mental disabilities, and special conditions. A well-formed character who has these characteristics can really make your writing look deeply into the human condition.
Write Quick Poems Fall 2049|Sometimes it can be challenging to sit down and write a poem in a short amount of time. You may be on a deadline for school or have a limited amount of free time to be creative on the page  Posted 11/1/49
New Years 2017 write Blank Verse Poems|written 1/07/17  writing a blank verse poem is all about observing the world within or around you. A poem can be about anything, from love to the rusty gate at the old farm.
12/27 write a Rhyming Poem|released 12/27/29  rhyme can add a driving music to your poems, giving them a memorable quality that can be a lot of fun. While not all poems need to rhyme, poems that do rhyme tend to seem all the more spectacular for pulling off such a complex composition.
2041 Fall write a Poem in Heroic Couplets|In addition to using rhyming couplets, a heroic couplet employs the iambic pentameter. Iambic pentameter refers to lines that contain five unstressed and stressed syllables, or iambs, that are two syllables long  Released 2041 Nov
2041 Fall cope With Being in Love With a Fictional Character|Falling in love with a fictional character is not unusual, and many people have found themselves emotionally attached to a character in a book, movie, TV show, or video game  Released 2041 Nov
New Year's Day '05 breathe New Life Into a Cliched and Generic Fantasy Story|Created 01/6/05  there are lots of poor, cliched, generic fantasy stories out there with little to no difference to thousands of other generic fantasy stories. These stories seem to lack proper writing motivation, made mostly to rake money, plus they are ridiculously overdone and predictable.
Write a Concrete Poem Winter 2006|Released 12/3/06  concrete poetry, also called pattern or shape poetry, has a visual appearance that matches the subject matter of the poem. The emphasis on form separates this genre from other types of poetry.
Illustrate a Children's Book Fall 15|Children's books are bland and boring without pictures. That's where an illustrator comes in. If you're new to illustrating children's books, you'll probably need to read this  Posted 11/13/15
Monsoon 06 write a Comic Strip|posted 07/05/06  creating your own comic strip can be a fun and creative way to express yourself in words and images. Comics are all about exploring your imagination, so you are free to make up weird characters, draw strange settings, and inject humor into your work.
Get Inspiration for Poetry '05 New Year's Day|Writing poetry can be a joy and a challenge, especially if you have hit a block or feel devoid of inspiration. You can get inspired to write poetry by responding to writing and media, and by using writing prompts and exercises  Written 01/6/05
Spring 39 get Your Poetry Published|Are you a poet? If so, you may dream of getting your poetry published. Publication can be a difficult field. However, with the modern rise of MFA programs, there are more literary journals than ever  created 05/07/39
5/14 buy a Comic Book Collection|released 05/14/10  comic books have long served as a source of popular reading material; although thought of as a product of the mid-20th century, the earliest comic books actually date to the 19th century.
2011 Sep write a Young Adult Novel|Young adult fiction is one of the most rapidly expanding and exciting categories in which you you can write and publish. Although many people think young adult novels are only written for teenagers, they have a much broader audience and appeal  created 09/02/2011
Oct of 2044 write Good Fan Fiction Without Being Over Obsessive|Everyone knows fan-fiction can be a good outlet for ideas and obsessive habits. Sometimes a person can get a little too attached to their writing and won't stop talking about it  Created 10/26/2044
Write a Good Fanfiction Crossover Sep 2017|Written 09/06/2017  a lot of people say that they don't like crossovers because they are unbelievable. However, this is just because they are so difficult to write convincingly.
Write a Salable Life Story 2023 October|If you are going to teach a course in life story writing or want to write your own life story as a vignette, skit, play, monologue, tale or novel, or essay on folklore, genealogy, or personal history, and record traditions, here’s how to write your own memoirs or talk to relatives and friends before recording their life experiences for books, keepsake journals, or documentaries  posted 10/09/2023
Write a Newspaper Article 2010 Fall|Released 9/15/10  news articles are fresh, clear, accurate and objective. Since they are often read quickly or skimmed, the most important information must be presented first, followed by descriptive content that rounds out the story.
Jun of 2047 make a Family Newspaper|With families sometimes scattered all across the country, it can be hard to stay up to date on happenings in each other's lives. A family newspaper is a great way to keep in touch and update extended and immediate family about your family's life  Released 06/04/2047
Jun of 2047 make a Pretend Magazine|You read all those gossip magazines, and now you want to make you're own? Not only could you add celebrity gossip, but you can even make it have local articles about your school!  Released 06/04/2047
Get the Most Out of Reading Fashion Magazines 03/28|Published 03/28/37  while reading fashion magazines can be fun, we don't always get what we want out of them. Here are some tips to make your time reading fashion magazines seem more satisfying and less frivolous.
Jun of 2000 develop Your Own Manga Style|"Posted 06/25/2000  if you're new to the world of manga, you may believe that every mangaka draws in a similar fashion — large eyes, triangular noses and pointed chins often come to mind when someone says ""manga""."
Do a Current Event 12/07|released 12/07/33  for many classes in grade school, the task of preparing a current event is a common one. Some assignments ask you to simply hand in a written response, while others want you to give an oral presentation with visual aids.
Apr '16 get Into Manga|released 04/17/2016    Manga  (pronounced  maan – Ga ), or comics in Japanese, cover a wide variety of subject areas targeting both  children  and  adults . 
Name Your Fanfiction 2035 September|created 09/15/2035  you've spent hours working on a piece of fanfiction that you're excited to put out there for others to read. Only one thing remains: giving your story a title.
Write a Believable Pregnancy Fanfiction 2031 September|Released 09/09/2031  many people enjoy writing fanfiction about their favorite characters getting pregnant, and many fail in the most epic proportions. Here's how to write a believable pregnancy fanfiction.
Sep 2017 create Incredible Fan Fiction|released 09/02/2017  have you been dying to create a fan-fic based on your favorite manga, anime, TV show, movie, or video game, but you just don't quite know how to go about doing it?
Aug 2025 get Good Reviews for a Fanfiction|"Have you written a Fanfiction story but have not received the praise your amazing plots and deeply emotional story lines deserve? Or have you written your masterpiece of literature and yet the next day you've got nothing except a single word from a sole reviewer saying ""Rubbish?""  Created 08/17/2025"
Get Motivated to Write Fan Fiction March 2026| Writer's block is a beast sometimes difficult to tame. However, when writing fan fiction it's usually easier.   Published 03/07/2026
September 2013 write an Autobiography|created 09/03/2013  what's your story? Anyone who has lived a full life has something fascinating to share with the world. The trick to writing an autobiography is to treat it like any good story: it should have a protagonist (you), a central conflict, and a cast of fascinating characters to keep people engaged.
March 2041 find Your Non Fiction Writing Style|If you've hit on this article, chances are you already love to write creatively. However, your fantasy series or half-finished sci-fi novel need work -- and writing for work is a great way to support yourself in the meantime  released 03/06/2041
Make an Animal Fact Book Spring 2031|Do you have an interest in animals, but don’t know much about them? The best way to learn more is to make an animal fact book. Research some of your favorite animals and write down the interesting facts that you find out  Created 2031 Mar
Spring '09 write a Script for an Animated Cartoon| Ever wonder how to write a quality animated script? Here are some clear and easy ideas to get you started!   Published 3/14/09
'28 Thanksgiving contact a Magazine Editor|posted 11/27/28  a good working relationship with a magazine editor begins with an initial contact. In addition to the traditional methods of contacting people, with the rise of the Internet and social media, more opportunities are available for the budding or expert writing.
'28 Thanksgiving contact CNN|posted 11/27/28  cNN is an American basic cable and satellite television network that is owned by Turner Broadcasting System, which is a division of Time Warner. It also has international bureaus.
Summer 2013 choose a Women's Magazine|Magazines make great reading material for long plane rides, poolside days, and any day when you're not in the mood for an entire book. But if you're one of the many women who've faced a newsstand full of magazines and wondered which one could possibly fit your interests, read this article to choose an enjoyable read for you  released 06/26/13
Spot Fake News Sites New Years '34|Written end of last year current date: 9/25/2034  as fake news articles become more common on social media, it’s important for readers to be able to tell the difference between genuine news and a fake news story or website.
July '45 ask Questions in a News Conference|Created 07/05/2045  news conferences are generally held when someone has information to release that is of interest to multiple media outlets and wants to make a formal public statement regarding the matter.
July '45 securely Leak to the Press|Created 07/05/2045  in times of political or social strife or upheaval, you may have information that needs to be revealed to the public. Sometimes you can't talk openly about the information you have without risking government persecution, losing your job, or putting yourself and family at harm.
Aug 2046 write a Story on Quotev|Writing is a beautiful thing...especially when you can get feedback from your audience! Quotev is the perfect place to write a story for a large audience!  Posted 08/19/2046
Aug 2046 write an Essay on WikiLeaks| This article describes steps that one may take in order to write an essay on the controversial WikiLeaks website and organization.   Posted 08/19/2046
May of 2035 write a Blog Post|Published 05/04/2035  in our current digital age, blogging is a great way to reach a wide audience of readers. Maybe you want to blog about your love of cats, or the most recent presidential debate.
Use Bellflowerbooks.com (Collaborative Online Book Making Website) 2009 November|The website  www.BellflowerBooks.com  has online tools that enable you to collaborate and create beautiful books full of letters and photographs from the people who mean the most  posted 11/09/2009
Start Freelance Writing Summer 26|Freelance writing can be a great career, but it takes time and effort to build yourself up as a dependable, trustworthy writer. Starting freelance work can be overwhelming whether you want to pursue it as a career or a part-time hobby  written 06/05/26
Start a Storyblog August of 2024| A story blog is a blog that tells, well, a story. It's almost like a readable TV show, or an ongoing, interactive book.   Posted 08/23/2024
Write a Musical August of 2024|Writing a musical can seem like a daunting task, especially if you are a fan of the genre and are trying to create one for the first time. You may decide to write a musical as a creative challenge or be assigned to write one for a class  Posted 08/23/2024
Sell a Screenplay 05/10|To sell a screenplay, also called a script, a writer needs to find a producer willing to turn it into a movie. Writers sell screenplays by directly querying producers, hiring an agent or entering competitions  published 05/10/35
