Value,Computed
Summer 34,06/01/2034-08/31/2034
Summer 2034,06/01/2034-08/31/2034
2034 Summer,06/01/2034-08/31/2034
Fall '34,09/01/2034-11/30/2034
Fall 34,09/01/2034-11/30/2034
Fall 2034,09/01/2034-11/30/2034
2034 Fall,09/01/2034-11/30/2034
Monsoon '34,06/01/2034-09/30/2034
Monsoon 34,06/01/2034-09/30/2034
Monsoon 2034,06/01/2034-09/30/2034
2034 Monsoon,06/01/2034-09/30/2034
Winter '35,12/01/2035-02/29/2036
Winter 35,12/01/2035-02/29/2036
Winter 2035,12/01/2035-02/29/2036
2035 Winter,12/01/2035-02/29/2036
Spring '35,03/01/2035-05/31/2035
Spring 35,03/01/2035-05/31/2035
Spring 2035,03/01/2035-05/31/2035
2035 Spring,03/01/2035-05/31/2035
Summer '35,06/01/2035-08/31/2035
Summer 35,06/01/2035-08/31/2035
Summer 2035,06/01/2035-08/31/2035
2035 Summer,06/01/2035-08/31/2035
Fall '35,09/01/2035-11/30/2035
Fall 35,09/01/2035-11/30/2035
Fall 2035,09/01/2035-11/30/2035
2035 Fall,09/01/2035-11/30/2035
Monsoon '35,06/01/2035-09/30/2035
Monsoon 35,06/01/2035-09/30/2035
Monsoon 2035,06/01/2035-09/30/2035
2035 Monsoon,06/01/2035-09/30/2035
Winter '36,12/01/2036-02/28/2037
Winter 36,12/01/2036-02/28/2037
Winter 2036,12/01/2036-02/28/2037
2036 Winter,12/01/2036-02/28/2037
Spring '36,03/01/2036-05/31/2036
Spring 36,03/01/2036-05/31/2036
Spring 2036,03/01/2036-05/31/2036
2036 Spring,03/01/2036-05/31/2036
Summer '36,06/01/2036-08/31/2036
Summer 36,06/01/2036-08/31/2036
Summer 2036,06/01/2036-08/31/2036
2036 Summer,06/01/2036-08/31/2036
Fall '36,09/01/2036-11/30/2036
Fall 36,09/01/2036-11/30/2036
Fall 2036,09/01/2036-11/30/2036
2036 Fall,09/01/2036-11/30/2036
Monsoon '36,06/01/2036-09/30/2036
Monsoon 36,06/01/2036-09/30/2036
Monsoon 2036,06/01/2036-09/30/2036
2036 Monsoon,06/01/2036-09/30/2036
Winter '37,12/01/2037-02/28/2038
Winter 37,12/01/2037-02/28/2038
Winter 2037,12/01/2037-02/28/2038
2037 Winter,12/01/2037-02/28/2038
Spring '37,03/01/2037-05/31/2037
Spring 37,03/01/2037-05/31/2037
Spring 2037,03/01/2037-05/31/2037
2037 Spring,03/01/2037-05/31/2037
Summer '37,06/01/2037-08/31/2037
Summer 37,06/01/2037-08/31/2037
Summer 2037,06/01/2037-08/31/2037
2037 Summer,06/01/2037-08/31/2037
Fall '37,09/01/2037-11/30/2037
Fall 37,09/01/2037-11/30/2037
Fall 2037,09/01/2037-11/30/2037
2037 Fall,09/01/2037-11/30/2037
Monsoon '37,06/01/2037-09/30/2037
Monsoon 37,06/01/2037-09/30/2037
Monsoon 2037,06/01/2037-09/30/2037
2037 Monsoon,06/01/2037-09/30/2037
Winter '38,12/01/2038-02/28/2039
Winter 38,12/01/2038-02/28/2039
Winter 2038,12/01/2038-02/28/2039
2038 Winter,12/01/2038-02/28/2039
Spring '38,03/01/2038-05/31/2038
Spring 38,03/01/2038-05/31/2038
Spring 2038,03/01/2038-05/31/2038
2038 Spring,03/01/2038-05/31/2038
Summer '38,06/01/2038-08/31/2038
Summer 38,06/01/2038-08/31/2038
Summer 2038,06/01/2038-08/31/2038
2038 Summer,06/01/2038-08/31/2038
Fall '38,09/01/2038-11/30/2038
Fall 38,09/01/2038-11/30/2038
Fall 2038,09/01/2038-11/30/2038
2038 Fall,09/01/2038-11/30/2038
Monsoon '38,06/01/2038-09/30/2038
Monsoon 38,06/01/2038-09/30/2038
Monsoon 2038,06/01/2038-09/30/2038
2038 Monsoon,06/01/2038-09/30/2038
Winter '39,12/01/2039-02/29/2040
Winter 39,12/01/2039-02/29/2040
Winter 2039,12/01/2039-02/29/2040
2039 Winter,12/01/2039-02/29/2040
Spring '39,03/01/2039-05/31/2039
Spring 39,03/01/2039-05/31/2039
Spring 2039,03/01/2039-05/31/2039
2039 Spring,03/01/2039-05/31/2039
Summer '39,06/01/2039-08/31/2039
Summer 39,06/01/2039-08/31/2039
Summer 2039,06/01/2039-08/31/2039
2039 Summer,06/01/2039-08/31/2039
Fall '39,09/01/2039-11/30/2039
Fall 39,09/01/2039-11/30/2039
Fall 2039,09/01/2039-11/30/2039
2039 Fall,09/01/2039-11/30/2039
Monsoon '39,06/01/2039-09/30/2039
Monsoon 39,06/01/2039-09/30/2039
Monsoon 2039,06/01/2039-09/30/2039
2039 Monsoon,06/01/2039-09/30/2039
Winter '40,12/01/2040-02/28/2041
Winter 40,12/01/2040-02/28/2041
Winter 2040,12/01/2040-02/28/2041
2040 Winter,12/01/2040-02/28/2041
Spring '40,03/01/2040-05/31/2040
Spring 40,03/01/2040-05/31/2040
Spring 2040,03/01/2040-05/31/2040
2040 Spring,03/01/2040-05/31/2040
Summer '40,06/01/2040-08/31/2040
Summer 40,06/01/2040-08/31/2040
Summer 2040,06/01/2040-08/31/2040
2040 Summer,06/01/2040-08/31/2040
Fall '40,09/01/2040-11/30/2040
Fall 40,09/01/2040-11/30/2040
Fall 2040,09/01/2040-11/30/2040
2040 Fall,09/01/2040-11/30/2040
Monsoon '40,06/01/2040-09/30/2040
Monsoon 40,06/01/2040-09/30/2040
Monsoon 2040,06/01/2040-09/30/2040
2040 Monsoon,06/01/2040-09/30/2040
Winter '41,12/01/2041-02/28/2042
Winter 41,12/01/2041-02/28/2042
Winter 2041,12/01/2041-02/28/2042
2041 Winter,12/01/2041-02/28/2042
Spring '41,03/01/2041-05/31/2041
Spring 41,03/01/2041-05/31/2041
Spring 2041,03/01/2041-05/31/2041
2041 Spring,03/01/2041-05/31/2041
Summer '41,06/01/2041-08/31/2041
Summer 41,06/01/2041-08/31/2041
Summer 2041,06/01/2041-08/31/2041
2041 Summer,06/01/2041-08/31/2041
Fall '41,09/01/2041-11/30/2041
Fall 41,09/01/2041-11/30/2041
Fall 2041,09/01/2041-11/30/2041
2041 Fall,09/01/2041-11/30/2041
Monsoon '41,06/01/2041-09/30/2041
Monsoon 41,06/01/2041-09/30/2041
Monsoon 2041,06/01/2041-09/30/2041
2041 Monsoon,06/01/2041-09/30/2041
Winter '42,12/01/2042-02/28/2043
Winter 42,12/01/2042-02/28/2043
Winter 2042,12/01/2042-02/28/2043
2042 Winter,12/01/2042-02/28/2043
Spring '42,03/01/2042-05/31/2042
Spring 42,03/01/2042-05/31/2042
Spring 2042,03/01/2042-05/31/2042
2042 Spring,03/01/2042-05/31/2042
Summer '42,06/01/2042-08/31/2042
Summer 42,06/01/2042-08/31/2042
Summer 2042,06/01/2042-08/31/2042
2042 Summer,06/01/2042-08/31/2042
Fall '42,09/01/2042-11/30/2042
Fall 42,09/01/2042-11/30/2042
Fall 2042,09/01/2042-11/30/2042
2042 Fall,09/01/2042-11/30/2042
Monsoon '42,06/01/2042-09/30/2042
Monsoon 42,06/01/2042-09/30/2042
Monsoon 2042,06/01/2042-09/30/2042
2042 Monsoon,06/01/2042-09/30/2042
Winter '43,12/01/2043-02/29/2044
Winter 43,12/01/2043-02/29/2044
Winter 2043,12/01/2043-02/29/2044
2043 Winter,12/01/2043-02/29/2044
Spring '43,03/01/2043-05/31/2043
Spring 43,03/01/2043-05/31/2043
Spring 2043,03/01/2043-05/31/2043
2043 Spring,03/01/2043-05/31/2043
Summer '43,06/01/2043-08/31/2043
Summer 43,06/01/2043-08/31/2043
Summer 2043,06/01/2043-08/31/2043
2043 Summer,06/01/2043-08/31/2043
Fall '43,09/01/2043-11/30/2043
Fall 43,09/01/2043-11/30/2043
Fall 2043,09/01/2043-11/30/2043
2043 Fall,09/01/2043-11/30/2043
Monsoon '43,06/01/2043-09/30/2043
Monsoon 43,06/01/2043-09/30/2043
Monsoon 2043,06/01/2043-09/30/2043
2043 Monsoon,06/01/2043-09/30/2043
Winter '44,12/01/2044-02/28/2045
Winter 44,12/01/2044-02/28/2045
Winter 2044,12/01/2044-02/28/2045
2044 Winter,12/01/2044-02/28/2045
Spring '44,03/01/2044-05/31/2044
Spring 44,03/01/2044-05/31/2044
Spring 2044,03/01/2044-05/31/2044
2044 Spring,03/01/2044-05/31/2044
Summer '44,06/01/2044-08/31/2044
Summer 44,06/01/2044-08/31/2044
Summer 2044,06/01/2044-08/31/2044
2044 Summer,06/01/2044-08/31/2044
Fall '44,09/01/2044-11/30/2044
Fall 44,09/01/2044-11/30/2044
Fall 2044,09/01/2044-11/30/2044
2044 Fall,09/01/2044-11/30/2044
Monsoon '44,06/01/2044-09/30/2044
Monsoon 44,06/01/2044-09/30/2044
Monsoon 2044,06/01/2044-09/30/2044
2044 Monsoon,06/01/2044-09/30/2044
Winter '45,12/01/2045-02/28/2046
Winter 45,12/01/2045-02/28/2046
Winter 2045,12/01/2045-02/28/2046
2045 Winter,12/01/2045-02/28/2046
Spring '45,03/01/2045-05/31/2045
Spring 45,03/01/2045-05/31/2045
Spring 2045,03/01/2045-05/31/2045
2045 Spring,03/01/2045-05/31/2045
Summer '45,06/01/2045-08/31/2045
Summer 45,06/01/2045-08/31/2045
Summer 2045,06/01/2045-08/31/2045
2045 Summer,06/01/2045-08/31/2045
Fall '45,09/01/2045-11/30/2045
Fall 45,09/01/2045-11/30/2045
Fall 2045,09/01/2045-11/30/2045
2045 Fall,09/01/2045-11/30/2045
Monsoon '45,06/01/2045-09/30/2045
Monsoon 45,06/01/2045-09/30/2045
Monsoon 2045,06/01/2045-09/30/2045
2045 Monsoon,06/01/2045-09/30/2045
Winter '46,12/01/2046-02/28/2047
Winter 46,12/01/2046-02/28/2047
Winter 2046,12/01/2046-02/28/2047
2046 Winter,12/01/2046-02/28/2047
Spring '46,03/01/2046-05/31/2046
Spring 46,03/01/2046-05/31/2046
Spring 2046,03/01/2046-05/31/2046
2046 Spring,03/01/2046-05/31/2046
Summer '46,06/01/2046-08/31/2046
Summer 46,06/01/2046-08/31/2046
Summer 2046,06/01/2046-08/31/2046
2046 Summer,06/01/2046-08/31/2046
Fall '46,09/01/2046-11/30/2046
Fall 46,09/01/2046-11/30/2046
Fall 2046,09/01/2046-11/30/2046
2046 Fall,09/01/2046-11/30/2046
Monsoon '46,06/01/2046-09/30/2046
Monsoon 46,06/01/2046-09/30/2046
Monsoon 2046,06/01/2046-09/30/2046
2046 Monsoon,06/01/2046-09/30/2046
Winter '47,12/01/2047-02/29/2048
Winter 47,12/01/2047-02/29/2048
Winter 2047,12/01/2047-02/29/2048
2047 Winter,12/01/2047-02/29/2048
Spring '47,03/01/2047-05/31/2047
Spring 47,03/01/2047-05/31/2047
Spring 2047,03/01/2047-05/31/2047
2047 Spring,03/01/2047-05/31/2047
Summer '47,06/01/2047-08/31/2047
Summer 47,06/01/2047-08/31/2047
Summer 2047,06/01/2047-08/31/2047
2047 Summer,06/01/2047-08/31/2047
Fall '47,09/01/2047-11/30/2047
Fall 47,09/01/2047-11/30/2047
Fall 2047,09/01/2047-11/30/2047
2047 Fall,09/01/2047-11/30/2047
Monsoon '47,06/01/2047-09/30/2047
Monsoon 47,06/01/2047-09/30/2047
Monsoon 2047,06/01/2047-09/30/2047
2047 Monsoon,06/01/2047-09/30/2047
Winter '48,12/01/2048-02/28/2049
Winter 48,12/01/2048-02/28/2049
Winter 2048,12/01/2048-02/28/2049
2048 Winter,12/01/2048-02/28/2049
Spring '48,03/01/2048-05/31/2048
Spring 48,03/01/2048-05/31/2048
Spring 2048,03/01/2048-05/31/2048
2048 Spring,03/01/2048-05/31/2048
Summer '48,06/01/2048-08/31/2048
Summer 48,06/01/2048-08/31/2048
Summer 2048,06/01/2048-08/31/2048
2048 Summer,06/01/2048-08/31/2048
Fall '48,09/01/2048-11/30/2048
Fall 48,09/01/2048-11/30/2048
Fall 2048,09/01/2048-11/30/2048
2048 Fall,09/01/2048-11/30/2048
Monsoon '48,06/01/2048-09/30/2048
Monsoon 48,06/01/2048-09/30/2048
Monsoon 2048,06/01/2048-09/30/2048
2048 Monsoon,06/01/2048-09/30/2048
Winter '49,12/01/2049-02/28/2050
Winter 49,12/01/2049-02/28/2050
Winter 2049,12/01/2049-02/28/2050
2049 Winter,12/01/2049-02/28/2050
Spring '49,03/01/2049-05/31/2049
Spring 49,03/01/2049-05/31/2049
Spring 2049,03/01/2049-05/31/2049
2049 Spring,03/01/2049-05/31/2049
Summer '49,06/01/2049-08/31/2049
Summer 49,06/01/2049-08/31/2049
Summer 2049,06/01/2049-08/31/2049
2049 Summer,06/01/2049-08/31/2049
Fall '49,09/01/2049-11/30/2049
Fall 49,09/01/2049-11/30/2049
Fall 2049,09/01/2049-11/30/2049
2049 Fall,09/01/2049-11/30/2049
Monsoon '49,06/01/2049-09/30/2049
Monsoon 49,06/01/2049-09/30/2049
Monsoon 2049,06/01/2049-09/30/2049
2049 Monsoon,06/01/2049-09/30/2049
Winter '50,12/01/2050-02/28/2051
Winter 50,12/01/2050-02/28/2051
Winter 2050,12/01/2050-02/28/2051
2050 Winter,12/01/2050-02/28/2051
Spring '50,03/01/2050-05/31/2050
Spring 50,03/01/2050-05/31/2050
Spring 2050,03/01/2050-05/31/2050
2050 Spring,03/01/2050-05/31/2050
Summer '50,06/01/2050-08/31/2050
Summer 50,06/01/2050-08/31/2050
Summer 2050,06/01/2050-08/31/2050
2050 Summer,06/01/2050-08/31/2050
Fall '50,09/01/2050-11/30/2050
Fall 50,09/01/2050-11/30/2050
Fall 2050,09/01/2050-11/30/2050
2050 Fall,09/01/2050-11/30/2050
Monsoon '50,06/01/2050-09/30/2050
Monsoon 50,06/01/2050-09/30/2050
Monsoon 2050,06/01/2050-09/30/2050
2050 Monsoon,06/01/2050-09/30/2050
